Token 88: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 89: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 90: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 91: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 92: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 93: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 94: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 95: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 96: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 97: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 98: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 99: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 100: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 101: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 102: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 103: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 104: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 105: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 106: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 107: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 108: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 109: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 110: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 111: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 112: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 113: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 114: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 115: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 116: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 117: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 118: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 119: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 120: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 121: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 122: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 123: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
